main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
CYCLE,CYCLE,bent-1,bent-1,bent-1,bent-1,1,,,,
CYCLE,CYCLE,1,1,1,bent-1,1,,,,
CYLINDER,"DCL:crvd-5\tall wide cylindrical object\""""",crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
CYLINDER,"DCL:crvd-5\tall wide cylindrical object\""""",crvd-L,crvd-L,crvd-L,crvd-L,1,,,,
D,D,D,,D,,1,,,,alphabet
DALLAS,ns-DALLAS,D,,D,,1,,,,
DALLAS,ns-fs-DALLAS,D,,S,,1,,,,
DANCE,DANCE,V,B-L,V,B-L,1,,,,
DANGER,DANGER,10,10,10,10,1,,,,
DANGER,DANGER,10,A,10,A,1,,,,
DARE,DARE,10,10,10,10,1,,,,
DARK,DARK,B-L,B-L,B-L,B-L,1,,,,
DARK,DARK,flat-B,flat-B,flat-B,flat-B,1,,,,
DARTS,DARTS,baby-O,,L,,1,,,,
DARTS,DARTS,X-over-thumb,,1,,1,,,,
DASH LINES,DASH-LINES,bent-1,,bent-1,,1,,,,
DATE/DESSERT,DATE/DESSERT,D,D,D,D,1,DATE,DESSERT,,
DAUGHTER,DAUGHTER,B,A,B,A,1,,,,
DAUGHTER,DAUGHTER,B,S,B,S,1,,,,
DAUGHTER,DAUGHTER,B-xd,B-L,B-xd,B-L,1,,,,
DAY,DAY,D,D,D,D,1,,,,
DAY,DAY,D,bent-B,D,bent-B,1,,,,
DAY,DAY,1,psv,1,psv,1,,,,
DAY,DAY,1,B-L,1,B-L,1,,,,
DEAF,DEAF,1,,1,,1,,,,
DEAF,DEAF,D,,D,,1,,,,
DEAF APPLAUSE,DEAF-APPLAUSE,5,5,5,5,1,,,,
DEAL CARDS,DEAL-CARDS,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,1,,,,
DECIDE,DECIDE,F,F,F,F,1,,,,
DECIDE,THINK+DECIDE,1,,F,F,1,,,THINK+DECIDE,
DECONSTRUCT,DECONSTRUCT,S,S,S,S,1,,,,
DECORATE,DECORATE,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
DECREASE,DECREASE,U,U,U,U,1,,,,
DECREASE,DECREASE,bent-N,bent-N,bent-N,bent-N,1,,,,
DEEP,DEEP,bent-1,B-L,bent-1,B-L,1,,,,
DEEP,DEEP,bent-1,flat-B,bent-1,flat-B,1,,,,
DEER,DEER,5,5,5,5,1,,,,
DEFEND,DEFEND,S,S,S,S,1,,,,
DEFLATE,DEFLATE_2,flat-O,bent-B-L,B-L,bent-B-L,1,,,,
DEFLATE,DEFLATE,B-L,B,flat-O,B,1,,,,
DEFLATE,DEFLATE,B-L,,flat-O,,1,,,,
DELETE,DELETE,cocked-S,1,10,1,1,,,,
DELETE,DELETE,cocked-S,1,10,psv,1,,,,
DELETE,DELETE,cocked-S,,10,,1,,,,
DELETE,DELETE,X-over-thumb,,10,,1,,,,
DELICIOUS,DELICIOUS,8,,X-over-thumb,,1,,,,
DELICIOUS,DELICIOUS,8,,8,,1,,,,
DELICIOUS,DELICIOUS,open-8,,A,,1,,,,
DELICIOUS,DELICIOUS,8,,open-8,,1,,,,
DEMOCRAT,DEMOCRAT,D,,D,,1,,,,
DENMARK,ns-nat-DENMARK,3,,3,,1,,,,
DENTIST,DENTIST,S,,S,,1,,,,
DENY,DENY,10,10,10,10,1,,,,
